countrycode,year,percentile,headcount,share_income,welfare,cumm_income
BRA,2017,97,0.9699967,0.02978194700169213,124.99615511241733,<= 100%
BRA,2017,98,0.9800037,0.033216955082033164,139.41303668158807,<= 100%
BRA,2017,99,0.9899993,0.03425681299507945,143.77736655520656,<= 100%
BRA,2017,100,1,0.04952015429412937,207.83828830895928,<= 100%
FIN,2017,1,0.009883597,9.925810824984015e-4,0.2807496601048609,<= 20%
FIN,2017,2,0.019872129999999998,0.0020665556527653846,0.584521312497002,<= 20%
FIN,2017,3,0.03000912,0.0029653593951270815,0.8387462313659648,<= 20%
FIN,2017,4,0.03997144,0.0034793605292514898,0.9841304687279268,<= 20%
FIN,2017,5,0.05001746,0.004216462784223168,1.1926184312679124,<= 20%
FIN,2017,6,0.0600261,0.004850013997274241,1.3718171797221954,<= 20%
FIN,2017,7,0.07006669,0.0052499489824932785,1.484938025106097,<= 20%
FIN,2017,8,0.0800071,0.0055930316916461935,1.581978312978691,<= 20%
FIN,2017,9,0.0902065,0.005637579716567874,1.5945786365952,<= 20%
FIN,2017,10,0.1001375,0.005989700716084421,1.694175387604419,<= 20%
FIN,2017,11,0.1101552,0.006438990475953473,1.8212561365688587,<= 20%
FIN,2017,12,0.1201389,0.006513285273880993,1.842270278016335,<= 20%
FIN,2017,13,0.1300198,0.006587580071808513,1.8632844194638112,<= 20%
FIN,2017,14,0.139985,0.006922085372956577,1.9578986038931667,<= 20%
FIN,2017,15,0.1500282,0.006981437661325317,1.9746862851010605,<= 20%
FIN,2017,16,0.160073,0.007040789949694056,1.9914739663089542,<= 20%
FIN,2017,17,0.170405,0.007100142238062795,2.008261647516848,<= 20%
FIN,2017,18,0.1801216,0.007198246963947362,2.0360103815320536,<= 20%
FIN,2017,19,0.1901299,0.00729635168983193,2.063759115547259,<= 20%
FIN,2017,20,0.2000511,0.007394456415716497,2.0915078495624644,<= 20%
FIN,2017,21,0.209986,0.007492561141601063,2.1192565835776693,<= 40%
FIN,2017,22,0.2201119,0.007590665867485631,2.147005317592875,<= 40%
FIN,2017,23,0.2301051,0.007688770593370198,2.17475405160808,<= 40%
FIN,2017,24,0.2401721,0.008050072907665823,2.2769477199361887,<= 40%
FIN,2017,25,0.2499851,0.008056227970568665,2.278688667701934,<= 40%
FIN,2017,26,0.2599117,0.008062383033471506,2.2804296154676797,<= 40%
FIN,2017,27,0.2699871,0.008068538096374348,2.282170563233425,<= 40%
FIN,2017,28,0.2800412,0.00807469315927719,2.283911510999171,<= 40%
FIN,2017,29,0.2900651,0.008080848222180031,2.285652458764916,<= 40%
FIN,2017,30,0.2999126,0.008436150549943164,2.3861490423819287,<= 40%
FIN,2017,31,0.3100344,0.008517345760565185,2.4091149523576627,<= 40%
FIN,2017,32,0.3200072,0.008598540971187207,2.432080862333397,<= 40%
FIN,2017,33,0.3300043,0.008679736181809228,2.455046772309131,<= 40%
FIN,2017,34,0.3399546,0.008730761028205239,2.469479052487719,<= 40%
FIN,2017,35,0.3499482,0.008781785874601248,2.483911332666306,<= 40%
FIN,2017,36,0.359883,0.008832810720997258,2.4983436128448937,<= 40%
FIN,2017,37,0.3700878,0.00888383556739327,2.5127758930234814,<= 40%
FIN,2017,38,0.3799985,0.008934860413789278,2.5272081732020686,<= 40%
FIN,2017,39,0.3899636,0.008985885260185289,2.5416404533806563,<= 40%
FIN,2017,40,0.4001444,0.009344146508374063,2.642973961978835,<= 40%
FIN,2017,41,0.4099685,0.009354880665138038,2.6460100976821397,<= 60%
FIN,2017,42,0.4199892,0.009365614821902013,2.6490462333854445,<= 60%
FIN,2017,43,0.4301298,0.009376348978665988,2.6520823690887494,<= 60%
FIN,2017,44,0.4400158,0.009387083135429963,2.6551185047920542,<= 60%
FIN,2017,45,0.4501139,0.009397817292193938,2.658154640495359,<= 60%
FIN,2017,46,0.4601183,0.009408551448957914,2.661190776198664,<= 60%
FIN,2017,47,0.4700145,0.009596460630731413,2.7143405287415017,<= 60%
FIN,2017,48,0.48001,0.009784369812504912,2.76749028128434,<= 60%
FIN,2017,49,0.4898998,0.009872694793207515,2.7924728330861615,<= 60%
FIN,2017,50,0.5001103,0.01001103083611531,2.8316009181478443,<= 60%
FIN,2017,51,0.5100789,0.010035849503767891,2.8386208308084595,<= 60%
FIN,2017,52,0.5200459,0.010060668171420473,2.845640743469075,<= 60%
FIN,2017,53,0.5300325,0.010085486839073055,2.8526606561296903,<= 60%
FIN,2017,54,0.5400369,0.010110305506725637,2.859680568790306,<= 60%
FIN,2017,55,0.5499847,0.010135124174378219,2.866700481450921,<= 60%
FIN,2017,56,0.560077,0.010410482091189955,2.944584941385913,<= 60%
FIN,2017,57,0.5699951,0.010783008768354196,3.049953399276125,<= 60%
FIN,2017,58,0.579931,0.010826779750960438,3.0623339379604073,<= 60%
FIN,2017,59,0.5900468,0.010870550733566678,3.0747144766446888,<= 60%
FIN,2017,60,0.6000108,0.010914321716172919,3.087095015328971,<= 60%
FIN,2017,61,0.6100033,0.01095809269877916,3.099475554013253,<= 80%
FIN,2017,62,0.6199921,0.011001863681385402,3.111856092697535,<= 80%
FIN,2017,63,0.6299662,0.011045634663991642,3.124236631381817,<= 80%
FIN,2017,64,0.640005,0.011089405646597883,3.1366171700660987,<= 80%
FIN,2017,65,0.6499925,0.011324486136030876,3.203109236728777,<= 80%
FIN,2017,66,0.6600384,0.011625052739278496,3.2881239253910284,<= 80%
FIN,2017,67,0.6700068,0.011696036982669966,3.3082016828219816,<= 80%
FIN,2017,68,0.6799484,0.011878881342039072,3.3599188600381313,<= 80%
FIN,2017,69,0.6900043,0.01188022077196818,3.360297715230883,<= 80%
FIN,2017,70,0.6999622,0.01188156020189729,3.3606765704236348,<= 80%
FIN,2017,71,0.7100318,0.011882899631826399,3.3610554256163865,<= 80%
FIN,2017,72,0.7199296,0.011884239061755508,3.361434280809138,<= 80%
FIN,2017,73,0.7299162,0.011943824663200237,3.3782879541741835,<= 80%
FIN,2017,74,0.7399872,0.012003410264644965,3.3951416275392288,<= 80%
FIN,2017,75,0.7499304,0.012062995866089693,3.4119953009042745,<= 80%
FIN,2017,76,0.7600891,0.012122581467534421,3.42884897426932,<= 80%
FIN,2017,77,0.7699776,0.012277495748577838,3.4726661822689473,<= 80%
FIN,2017,78,0.7800471,0.012337485041511696,3.4896340389993203,<= 80%
FIN,2017,79,0.7899247,0.012397474334445555,3.506601895729694,<= 80%
FIN,2017,80,0.8001654,0.012457463627379413,3.523569752460067,<= 80%
FIN,2017,81,0.8100255,0.01251745292031327,3.54053760919044,<= 100%
FIN,2017,82,0.8199076,0.012577442213247128,3.557505465920813,<= 100%
FIN,2017,83,0.8300025,0.012637431506180987,3.5744733226511864,<= 100%
FIN,2017,84,0.8400296,0.012697420799114845,3.5914411793815595,<= 100%
FIN,2017,85,0.8500702,0.012748630405918074,3.6059257186878315,<= 100%
FIN,2017,86,0.8599985,0.012799840012721305,3.6204102579941044,<= 100%
FIN,2017,87,0.8698966,0.012851049619524536,3.634894797300377,<= 100%
FIN,2017,88,0.8800332,0.012902259226327765,3.649379336606649,<= 100%
FIN,2017,89,0.8899726,0.012953468833130994,3.663863875912921,<= 100%
FIN,2017,90,0.9000956,0.013004678439934225,3.6783484152191934,<= 100%
FIN,2017,91,0.9100039,0.013300994185437386,3.762160756901481,<= 100%
FIN,2017,92,0.9199837,0.013659433987135814,3.863544769018244,<= 100%
FIN,2017,93,0.9300747,0.013804969113649477,3.9047091011040256,<= 100%
FIN,2017,94,0.9400305,0.013950504240163138,3.9458734331898064,<= 100%
FIN,2017,95,0.9498783,0.014412675330614737,4.0765976418640015,<= 100%
FIN,2017,96,0.9599898,0.014874846421066335,4.207321850538196,<= 100%
FIN,2017,97,0.9699284,0.01512088457899573,4.276913272770057,<= 100%
FIN,2017,98,0.9799963,0.015705162696513085,4.442175220425572,<= 100%
FIN,2017,99,0.9899653,0.01867833453440889,5.283131186281325,<= 100%
FIN,2017,100,1,0.024859406203388223,7.031435481766956,<= 100%
