countrycode,percentile,headcount,share_income,welfare,cumm_income
COL,1,0.003119159,4.985396620659504e-5,0.00298644602599611,< 20%
COL,2,0.01014916,7.109632374203153e-4,0.7419588408078304,< 20%
COL,3,0.02000306,0.0010500422373944532,1.2158969657313226,< 20%
COL,4,0.03006841,0.0012710887168067796,1.5841595407120612,< 20%
COL,5,0.04026667,0.0014461131849569531,1.8717801465785766,< 20%
COL,6,0.05001931,0.0015873833845398881,2.09933210042905,< 20%
COL,7,0.06023028,0.0017375161135221914,2.322489559560781,< 20%
COL,8,0.07042527,0.0018883377955748477,2.5335470720003843,< 20%
COL,9,0.08042995,0.0020026272543559338,2.7098956353355157,< 20%
COL,10,0.09032044,0.0021251072739837795,2.878970363055337,< 20%
COL,11,0.1000492,0.0022381117712309082,3.0466112086271906,< 20%
COL,12,0.110974,0.00236587806172164,3.2174590452260987,< 20%
COL,13,0.1208649,0.0024580253366209143,3.366339853871348,< 20%
COL,14,0.1318154,0.0025623565378651465,3.5148811711589443,< 20%
COL,15,0.1406782,0.0026458716209475444,3.6406536796536773,< 20%
COL,16,0.1505481,0.0027417008703287185,3.765634966915823,< 20%
COL,17,0.1605213,0.0028565259121860233,3.916361796453373,< 20%
COL,18,0.1700349,0.002965266879970431,4.066030055238296,< 20%
COL,19,0.1806193,0.003046920303087043,4.1900324285681085,< 20%
COL,20,0.191147,0.0031330388895702208,4.315708990344199,< 20%
COL,21,0.2016231,0.0032364239997855065,4.466011770273601,< 20%
COL,22,0.210097,0.0033289172714046564,4.591079701800541,< 20%
COL,23,0.2206083,0.0034466217932952667,4.741118448564125,< 20%
COL,24,0.2313657,0.003545765626156404,4.889592362863966,< 20%
COL,25,0.2418118,0.0036251678400214676,5.01569991524993,< 20%
COL,26,0.2509908,0.0037165574307367125,5.140965977822533,< 20%
COL,27,0.2603258,0.00381130203447317,5.266083483433989,< 20%
COL,28,0.2702467,0.0039052174930577777,5.391138060662189,< 20%
COL,29,0.2813806,0.0040132475483072305,5.541834226704538,< 20%
COL,30,0.2904658,0.004093372496628639,5.665854630687247,< 20%
COL,31,0.3012838,0.0042104056978043425,5.8147278523903685,< 20%
COL,32,0.3100369,0.004293368085959176,5.941072031310436,< 20%
COL,33,0.3227836,0.004449654667837963,6.128652516116818,< 20%
COL,34,0.3305269,0.004495672055102609,6.227824402100422,< 20%
COL,35,0.3415814,0.00461875878591983,6.377124221857039,< 20%
COL,36,0.3526129,0.004714882198301962,6.528153328266156,< 20%
COL,37,0.3627224,0.004814155375313753,6.678349023566223,< 20%
COL,38,0.3722197,0.004924340373364242,6.826227745674426,< 20%
COL,39,0.3822247,0.005035936361957399,6.979037984421878,< 20%
COL,40,0.3915997,0.005148236706521009,7.129736132218987,< 20%
COL,41,0.4012665,0.005256794514945956,7.276934428525727,< 20%
COL,42,0.410813,0.005374283905569099,7.430569922912552,< 20%
COL,43,0.4223762,0.005515973296363996,7.62662825163279,< 20%
COL,44,0.4309633,0.005615410577370666,7.777550230305062,< 20%
COL,45,0.442311,0.0057703721077306536,7.976869644762232,< 20%
COL,46,0.4501805,0.005868281295942912,8.12845319964535,< 20%
COL,47,0.4626444,0.00602264518484133,8.326764001074768,< 20%
COL,48,0.4713478,0.006111150695875589,8.48176764369524,< 20%
COL,49,0.4802239,0.006232117165548695,8.62685692503593,< 20%
COL,50,0.4908855,0.00638947842083934,8.827806379608258,< 20%
COL,51,0.500804,0.0065333147234815925,9.0005997683263,< 20%
COL,52,0.510637,0.006675173266937812,9.20308192201656,< 20%
COL,53,0.5207807,0.006817903107441764,9.40345513535354,< 40%
COL,54,0.5310495,0.006961453155171077,9.607367542026854,< 40%
COL,55,0.540867,0.007100848977063756,9.804178943374438,< 40%
COL,56,0.5505119,0.007248484931683646,10.002741991950412,< 40%
COL,57,0.563753,0.007470184879673186,10.306569008729094,< 40%
COL,58,0.5734145,0.007561803954844598,10.503740185617303,< 40%
COL,59,0.5826458,0.0077182836329304505,10.705140628425289,< 40%
COL,60,0.5913,0.007875306488680567,10.904362353288624,< 40%
COL,61,0.6034189,0.008097477612810877,11.203317765119865,< 40%
COL,62,0.6110893,0.008224644539396031,11.400924471363881,< 40%
COL,63,0.6226954,0.008466619937365083,11.702367571314902,< 40%
COL,64,0.6301473,0.008597133677079483,11.904601897787911,< 40%
COL,65,0.6410591,0.00885483989624325,12.20394396254817,< 40%
COL,66,0.652206,0.009043567062059388,12.502594873510947,< 40%
COL,67,0.6627933,0.009240741473444836,12.80353911169718,< 40%
COL,68,0.6702873,0.009379291668354162,13.002531770986643,< 40%
COL,69,0.6853083,0.009758792571118446,13.456303225823953,< 40%
COL,70,0.6911864,0.009857770517349929,13.656017476055018,< 40%
COL,71,0.7021513,0.010205308286710901,14.051267101540232,< 40%
COL,72,0.7131241,0.010469201782675464,14.460589651408592,< 40%
COL,73,0.7237499,0.010737666952264191,14.855457586630793,< 40%
COL,74,0.7341878,0.01100600194475232,15.250461205765609,< 40%
COL,75,0.7436505,0.011291078247374797,15.647813253414395,< 40%
COL,76,0.7524005,0.011604894555554801,16.05145236499452,< 60%
COL,77,0.7610149,0.011922729865771198,16.45046003809617,< 60%
COL,78,0.7772843,0.012444404084774652,17.147146955106297,< 60%
COL,79,0.7846008,0.012657908377339266,17.541541320577178,< 60%
COL,80,0.7917118,0.013029116061498813,17.952212744339633,< 60%
COL,81,0.8050581,0.01363764605183293,18.749809634057033,< 60%
COL,82,0.8112701,0.013889217100363338,19.15770432147457,< 60%
COL,83,0.822842,0.014566834553941088,19.942012501888808,< 60%
