countrycode,year,p10,p20,p30,p40,p50,p60,p70,p80,p90,p99.99,countryname,region,regionname,incomegroup,ratio_90_10,gini
ZAF,2015,1.3646661536823443,1.9633585751136617,2.6394095903002865,3.3970558580794403,4.4163743755978,6.0036031547277915,8.712675345061259,13.98706980948357,27.945407755180582,316,South Africa,SSA,Sub-saharan Africa,Upper middle income,20.47783458230729,0.6302607
FIN,2015,24.201743910482254,30.347168533926578,34.61680707755417,38.64733409069641,43.00832372307,48.467350482940674,54.7476637475047,63.79465867206454,79.421875,598,Finland,OHI,Other High Income countries,High income,3.28165917686621,0.2710204
