Time,Country,Series,Scale,Data
YR2010,BGR,SI.POV.NAHC.NC,0,22.2
YR2011,BGR,SI.POV.NAHC.NC,0,21.2
YR2012,BGR,SI.POV.NAHC.NC,0,21
YR2013,BGR,SI.POV.NAHC.NC,0,21.8
YR2014,BGR,SI.POV.NAHC.NC,0,22
YR2015,BGR,SI.POV.NAHC.NC,0,22.9
YR2016,BGR,SI.POV.NAHC.NC,0,23.4
YR2017,BGR,SI.POV.NAHC.NC,0,22
YR2004,BIH,SI.POV.NAHC,0,
YR2007,BIH,SI.POV.NAHC,0,18.2
YR2011,BIH,SI.POV.NAHC,0,17.9
YR2015,BIH,SI.POV.NAHC,0,16.9
YR2004,BIH,SI.POV.NAHC.NC,0,17.7
YR2007,BIH,SI.POV.NAHC.NC,0,18.2
YR2011,BIH,SI.POV.NAHC.NC,0,17.9
YR2015,BIH,SI.POV.NAHC.NC,0,16.9
YR1996,BLR,SI.POV.NAHC,0,
YR1997,BLR,SI.POV.NAHC,0,
YR1998,BLR,SI.POV.NAHC,0,
YR1999,BLR,SI.POV.NAHC,0,
YR2000,BLR,SI.POV.NAHC,0,41.9
YR2001,BLR,SI.POV.NAHC,0,28.9
YR2002,BLR,SI.POV.NAHC,0,30.5
YR2003,BLR,SI.POV.NAHC,0,27.1
YR2004,BLR,SI.POV.NAHC,0,17.8
YR2005,BLR,SI.POV.NAHC,0,12.7
YR2006,BLR,SI.POV.NAHC,0,11.1
YR2007,BLR,SI.POV.NAHC,0,7.7
YR2008,BLR,SI.POV.NAHC,0,6.1
YR2009,BLR,SI.POV.NAHC,0,5.4
YR2010,BLR,SI.POV.NAHC,0,5.2
YR2011,BLR,SI.POV.NAHC,0,7.3
YR2012,BLR,SI.POV.NAHC,0,6.3
YR2013,BLR,SI.POV.NAHC,0,5.5
YR2014,BLR,SI.POV.NAHC,0,4.8
YR2015,BLR,SI.POV.NAHC,0,5.1
YR2016,BLR,SI.POV.NAHC,0,5.7
YR2017,BLR,SI.POV.NAHC,0,5.9
YR2018,BLR,SI.POV.NAHC,0,5.6
YR1996,BLR,SI.POV.NAHC.NC,0,38.6
YR1997,BLR,SI.POV.NAHC.NC,0,32.1
YR1998,BLR,SI.POV.NAHC.NC,0,33
YR1999,BLR,SI.POV.NAHC.NC,0,46.7
YR2000,BLR,SI.POV.NAHC.NC,0,41.9
YR2001,BLR,SI.POV.NAHC.NC,0,28.9
YR2002,BLR,SI.POV.NAHC.NC,0,30.5
YR2003,BLR,SI.POV.NAHC.NC,0,27.1
YR2004,BLR,SI.POV.NAHC.NC,0,17.8
YR2005,BLR,SI.POV.NAHC.NC,0,12.7
YR2006,BLR,SI.POV.NAHC.NC,0,11.1
YR2007,BLR,SI.POV.NAHC.NC,0,7.7
YR2008,BLR,SI.POV.NAHC.NC,0,6.1
YR2009,BLR,SI.POV.NAHC.NC,0,5.4
YR2010,BLR,SI.POV.NAHC.NC,0,5.2
YR2011,BLR,SI.POV.NAHC.NC,0,7.3
YR2012,BLR,SI.POV.NAHC.NC,0,6.3
YR2013,BLR,SI.POV.NAHC.NC,0,5.5
YR2014,BLR,SI.POV.NAHC.NC,0,4.8
YR2015,BLR,SI.POV.NAHC.NC,0,5.1
YR2016,BLR,SI.POV.NAHC.NC,0,5.7
YR2017,BLR,SI.POV.NAHC.NC,0,5.9
YR2018,BLR,SI.POV.NAHC.NC,0,5.6
YR1999,BOL,SI.POV.NAHC,0,
YR2000,BOL,SI.POV.NAHC,0,66.4
YR2001,BOL,SI.POV.NAHC,0,63.1
YR2002,BOL,SI.POV.NAHC,0,63.3
YR2004,BOL,SI.POV.NAHC,0,63.1
YR2005,BOL,SI.POV.NAHC,0,59.6
YR2006,BOL,SI.POV.NAHC,0,59.9
YR2007,BOL,SI.POV.NAHC,0,60.1
YR2008,BOL,SI.POV.NAHC,0,57.3
YR2009,BOL,SI.POV.NAHC,0,51.3
YR2011,BOL,SI.POV.NAHC,0,45.1
YR2012,BOL,SI.POV.NAHC,0,43.3
YR2013,BOL,SI.POV.NAHC,0,38.9
YR2014,BOL,SI.POV.NAHC,0,39.1
YR2015,BOL,SI.POV.NAHC,0,38.6
YR2016,BOL,SI.POV.NAHC,0,39.5
YR2017,BOL,SI.POV.NAHC,0,36.4
YR2018,BOL,SI.POV.NAHC,0,34.6
YR1999,BOL,SI.POV.NAHC.NC,0,63.5
YR2000,BOL,SI.POV.NAHC.NC,0,66.4
YR2001,BOL,SI.POV.NAHC.NC,0,63.1
YR2002,BOL,SI.POV.NAHC.NC,0,63.3
YR2004,BOL,SI.POV.NAHC.NC,0,63.1
YR2005,BOL,SI.POV.NAHC.NC,0,59.6
YR2006,BOL,SI.POV.NAHC.NC,0,59.9
YR2007,BOL,SI.POV.NAHC.NC,0,60.1
YR2008,BOL,SI.POV.NAHC.NC,0,57.3
YR2009,BOL,SI.POV.NAHC.NC,0,51.3
YR2011,BOL,SI.POV.NAHC.NC,0,45.1
YR2012,BOL,SI.POV.NAHC.NC,0,43.3
YR2013,BOL,SI.POV.NAHC.NC,0,38.9
YR2014,BOL,SI.POV.NAHC.NC,0,39.1
YR2015,BOL,SI.POV.NAHC.NC,0,38.6
YR2016,BOL,SI.POV.NAHC.NC,0,39.5
YR2017,BOL,SI.POV.NAHC.NC,0,36.4
YR2018,BOL,SI.POV.NAHC.NC,0,34.6
YR2003,BTN,SI.POV.NAHC,0,
YR2007,BTN,SI.POV.NAHC,0,23.2
YR2012,BTN,SI.POV.NAHC,0,12
YR2017,BTN,SI.POV.NAHC,0,8.2
YR2003,BTN,SI.POV.NAHC.NC,0,31.7
YR2007,BTN,SI.POV.NAHC.NC,0,23.2
YR2012,BTN,SI.POV.NAHC.NC,0,12
YR2017,BTN,SI.POV.NAHC.NC,0,8.2
YR1985,BWA,SI.POV.NAHC,0,59
YR1993,BWA,SI.POV.NAHC,0,32.9
YR2002,BWA,SI.POV.NAHC,0,30.6
YR2009,BWA,SI.POV.NAHC,0,19.3
YR1985,BWA,SI.POV.NAHC.NC,0,59
YR1993,BWA,SI.POV.NAHC.NC,0,32.9
YR2002,BWA,SI.POV.NAHC.NC,0,30.6
YR2009,BWA,SI.POV.NAHC.NC,0,19.3
YR1992,CAF,SI.POV.NAHC,0,
YR2008,CAF,SI.POV.NAHC,0,62
YR1992,CAF,SI.POV.NAHC.NC,0,62.4
YR2008,CAF,SI.POV.NAHC.NC,0,62
YR1987,CHL,SI.POV.NAHC,0,
YR1990,CHL,SI.POV.NAHC,0,
YR1992,CHL,SI.POV.NAHC,0,
YR1994,CHL,SI.POV.NAHC,0,
YR1996,CHL,SI.POV.NAHC,0,
YR1998,CHL,SI.POV.NAHC,0,
YR2000,CHL,SI.POV.NAHC,0,36
YR2003,CHL,SI.POV.NAHC,0,35.4
YR2006,CHL,SI.POV.NAHC,0,29.1
YR2009,CHL,SI.POV.NAHC,0,25.3
YR2011,CHL,SI.POV.NAHC,0,22.2
YR2013,CHL,SI.POV.NAHC,0,14.4
YR2015,CHL,SI.POV.NAHC,0,11.7
YR2017,CHL,SI.POV.NAHC,0,8.6
YR1987,CHL,SI.POV.NAHC.NC,0,45.1
YR1990,CHL,SI.POV.NAHC.NC,0,38.6
YR1992,CHL,SI.POV.NAHC.NC,0,32.8
YR1994,CHL,SI.POV.NAHC.NC,0,27.7
YR1996,CHL,SI.POV.NAHC.NC,0,23.2
YR1998,CHL,SI.POV.NAHC.NC,0,21.6
YR2000,CHL,SI.POV.NAHC.NC,0,36
YR2003,CHL,SI.POV.NAHC.NC,0,35.4
YR2006,CHL,SI.POV.NAHC.NC,0,29.1
YR2009,CHL,SI.POV.NAHC.NC,0,25.3
YR2011,CHL,SI.POV.NAHC.NC,0,22.2
YR2013,CHL,SI.POV.NAHC.NC,0,14.4
YR2015,CHL,SI.POV.NAHC.NC,0,11.7
YR2017,CHL,SI.POV.NAHC.NC,0,8.6
YR2000,CHN,SI.POV.NAHC,0,
YR2005,CHN,SI.POV.NAHC,0,
YR2010,CHN,SI.POV.NAHC,0,
YR2011,CHN,SI.POV.NAHC,0,
YR2012,CHN,SI.POV.NAHC,0,
YR2013,CHN,SI.POV.NAHC,0,8.5
YR2014,CHN,SI.POV.NAHC,0,7.2
YR2015,CHN,SI.POV.NAHC,0,5.7
YR2016,CHN,SI.POV.NAHC,0,4.5
YR2017,CHN,SI.POV.NAHC,0,3.1
YR2018,CHN,SI.POV.NAHC,0,1.7
YR2000,CHN,SI.POV.NAHC.NC,0,49.8
YR2005,CHN,SI.POV.NAHC.NC,0,30.2
YR2010,CHN,SI.POV.NAHC.NC,0,17.2
YR2011,CHN,SI.POV.NAHC.NC,0,12.7
YR2012,CHN,SI.POV.NAHC.NC,0,10.2
YR2013,CHN,SI.POV.NAHC.NC,0,8.5
YR2014,CHN,SI.POV.NAHC.NC,0,7.2
YR2015,CHN,SI.POV.NAHC.NC,0,5.7
YR2016,CHN,SI.POV.NAHC.NC,0,4.5
YR2017,CHN,SI.POV.NAHC.NC,0,3.1
YR2018,CHN,SI.POV.NAHC.NC,0,1.7
YR1985,CIV,SI.POV.NAHC,0,
YR1993,CIV,SI.POV.NAHC,0,
YR1998,CIV,SI.POV.NAHC,0,
YR2002,CIV,SI.POV.NAHC,0,38.4
YR2008,CIV,SI.POV.NAHC,0,48.9
YR2015,CIV,SI.POV.NAHC,0,46.3
YR1985,CIV,SI.POV.NAHC.NC,0,10.1
YR1993,CIV,SI.POV.NAHC.NC,0,34.6
YR1998,CIV,SI.POV.NAHC.NC,0,36.4
YR2002,CIV,SI.POV.NAHC.NC,0,38.4
YR2008,CIV,SI.POV.NAHC.NC,0,48.9
YR2015,CIV,SI.POV.NAHC.NC,0,46.3
YR1996,CMR,SI.POV.NAHC,0,53.3
YR2001,CMR,SI.POV.NAHC,0,40.2
YR2007,CMR,SI.POV.NAHC,0,39.9
YR2014,CMR,SI.POV.NAHC,0,37.5
YR1996,CMR,SI.POV.NAHC.NC,0,53.3
YR2001,CMR,SI.POV.NAHC.NC,0,40.2
YR2007,CMR,SI.POV.NAHC.NC,0,39.9
YR2014,CMR,SI.POV.NAHC.NC,0,37.5
YR2004,COD,SI.POV.NAHC,0,69.3
YR2012,COD,SI.POV.NAHC,0,63.9
YR2004,COD,SI.POV.NAHC.NC,0,69.3
YR2012,COD,SI.POV.NAHC.NC,0,63.9
YR2005,COG,SI.POV.NAHC,0,50.7
YR2011,COG,SI.POV.NAHC,0,40.9
YR2005,COG,SI.POV.NAHC.NC,0,50.7
YR2011,COG,SI.POV.NAHC.NC,0,40.9
YR2002,COL,SI.POV.NAHC,0,49.7
YR2003,COL,SI.POV.NAHC,0,48
YR2004,COL,SI.POV.NAHC,0,47.4
YR2005,COL,SI.POV.NAHC,0,45
YR2008,COL,SI.POV.NAHC,0,42
YR2009,COL,SI.POV.NAHC,0,40.3
YR2010,COL,SI.POV.NAHC,0,37.2
YR2011,COL,SI.POV.NAHC,0,34.1
YR2012,COL,SI.POV.NAHC,0,32.7
YR2013,COL,SI.POV.NAHC,0,30.6
YR2014,COL,SI.POV.NAHC,0,28.5
YR2015,COL,SI.POV.NAHC,0,27.8
YR2016,COL,SI.POV.NAHC,0,28
YR2017,COL,SI.POV.NAHC,0,26.9
YR2018,COL,SI.POV.NAHC,0,27
YR2002,COL,SI.POV.NAHC.NC,0,49.7
YR2003,COL,SI.POV.NAHC.NC,0,48
YR2004,COL,SI.POV.NAHC.NC,0,47.4
YR2005,COL,SI.POV.NAHC.NC,0,45
YR2008,COL,SI.POV.NAHC.NC,0,42
YR2009,COL,SI.POV.NAHC.NC,0,40.3
YR2010,COL,SI.POV.NAHC.NC,0,37.2
YR2011,COL,SI.POV.NAHC.NC,0,34.1
YR2012,COL,SI.POV.NAHC.NC,0,32.7
YR2013,COL,SI.POV.NAHC.NC,0,30.6
YR2014,COL,SI.POV.NAHC.NC,0,28.5
YR2015,COL,SI.POV.NAHC.NC,0,27.8
YR2016,COL,SI.POV.NAHC.NC,0,28
YR2017,COL,SI.POV.NAHC.NC,0,26.9
YR2018,COL,SI.POV.NAHC.NC,0,27
YR1995,COM,SI.POV.NAHC,0,
YR2004,COM,SI.POV.NAHC,0,44.8
YR2013,COM,SI.POV.NAHC,0,42.4
YR1995,COM,SI.POV.NAHC.NC,0,54.6
YR2004,COM,SI.POV.NAHC.NC,0,44.8
YR2013,COM,SI.POV.NAHC.NC,0,42.4
YR1988,CPV,SI.POV.NAHC,0,
YR2001,CPV,SI.POV.NAHC,0,58
YR2007,CPV,SI.POV.NAHC,0,46
YR2015,CPV,SI.POV.NAHC,0,35
YR1988,CPV,SI.POV.NAHC.NC,0,30.2
YR2001,CPV,SI.POV.NAHC.NC,0,58
YR2007,CPV,SI.POV.NAHC.NC,0,46
YR2015,CPV,SI.POV.NAHC.NC,0,35
YR1989,CRI,SI.POV.NAHC,0,
YR1990,CRI,SI.POV.NAHC,0,
YR1991,CRI,SI.POV.NAHC,0,
YR1992,CRI,SI.POV.NAHC,0,
YR1993,CRI,SI.POV.NAHC,0,
YR1994,CRI,SI.POV.NAHC,0,
YR1995,CRI,SI.POV.NAHC,0,
YR1996,CRI,SI.POV.NAHC,0,
YR1997,CRI,SI.POV.NAHC,0,
YR1998,CRI,SI.POV.NAHC,0,
YR1999,CRI,SI.POV.NAHC,0,
YR2000,CRI,SI.POV.NAHC,0,
YR2001,CRI,SI.POV.NAHC,0,
YR2002,CRI,SI.POV.NAHC,0,
YR2003,CRI,SI.POV.NAHC,0,
YR2004,CRI,SI.POV.NAHC,0,
YR2005,CRI,SI.POV.NAHC,0,
YR2006,CRI,SI.POV.NAHC,0,
YR2007,CRI,SI.POV.NAHC,0,
YR2008,CRI,SI.POV.NAHC,0,
YR2009,CRI,SI.POV.NAHC,0,
YR2011,CRI,SI.POV.NAHC,0,21.7
YR2012,CRI,SI.POV.NAHC,0,20.6
YR2013,CRI,SI.POV.NAHC,0,20.7
YR2014,CRI,SI.POV.NAHC,0,22.4
YR2015,CRI,SI.POV.NAHC,0,21.7
YR2016,CRI,SI.POV.NAHC,0,20.5
YR2017,CRI,SI.POV.NAHC,0,20
YR2018,CRI,SI.POV.NAHC,0,21.1
YR2019,CRI,SI.POV.NAHC,0,21
YR1989,CRI,SI.POV.NAHC.NC,0,28.3
YR1990,CRI,SI.POV.NAHC.NC,0,27.1
YR1991,CRI,SI.POV.NAHC.NC,0,31.9
YR1992,CRI,SI.POV.NAHC.NC,0,29.4
YR1993,CRI,SI.POV.NAHC.NC,0,23.2
YR1994,CRI,SI.POV.NAHC.NC,0,20
YR1995,CRI,SI.POV.NAHC.NC,0,20.4
YR1996,CRI,SI.POV.NAHC.NC,0,21.5
YR1997,CRI,SI.POV.NAHC.NC,0,20.7
YR1998,CRI,SI.POV.NAHC.NC,0,19.7
YR1999,CRI,SI.POV.NAHC.NC,0,20.6
YR2000,CRI,SI.POV.NAHC.NC,0,20.6
YR2001,CRI,SI.POV.NAHC.NC,0,20.3
YR2002,CRI,SI.POV.NAHC.NC,0,20.6
YR2003,CRI,SI.POV.NAHC.NC,0,18.5
YR2004,CRI,SI.POV.NAHC.NC,0,21.7
YR2005,CRI,SI.POV.NAHC.NC,0,21.2
YR2006,CRI,SI.POV.NAHC.NC,0,20.2
YR2007,CRI,SI.POV.NAHC.NC,0,16.7
YR2008,CRI,SI.POV.NAHC.NC,0,17.7
YR2009,CRI,SI.POV.NAHC.NC,0,18.5
YR2011,CRI,SI.POV.NAHC.NC,0,21.7
YR2012,CRI,SI.POV.NAHC.NC,0,20.6
YR2013,CRI,SI.POV.NAHC.NC,0,20.7
YR2014,CRI,SI.POV.NAHC.NC,0,22.4
YR2015,CRI,SI.POV.NAHC.NC,0,21.7
YR2016,CRI,SI.POV.NAHC.NC,0,20.5
YR2017,CRI,SI.POV.NAHC.NC,0,20
YR2018,CRI,SI.POV.NAHC.NC,0,21.1
YR2019,CRI,SI.POV.NAHC.NC,0,21
YR2004,CZE,SI.POV.NAHC,0,10.4
YR2005,CZE,SI.POV.NAHC,0,9.9
YR2006,CZE,SI.POV.NAHC,0,9.6
YR2007,CZE,SI.POV.NAHC,0,9
YR2008,CZE,SI.POV.NAHC,0,8.6
YR2009,CZE,SI.POV.NAHC,0,9
YR2010,CZE,SI.POV.NAHC,0,9.8
YR2011,CZE,SI.POV.NAHC,0,9.6
YR2012,CZE,SI.POV.NAHC,0,8.6
YR2013,CZE,SI.POV.NAHC,0,9.7
YR2004,CZE,SI.POV.NAHC.NC,0,10.4
YR2005,CZE,SI.POV.NAHC.NC,0,9.9
YR2006,CZE,SI.POV.NAHC.NC,0,9.6
YR2007,CZE,SI.POV.NAHC.NC,0,9
YR2008,CZE,SI.POV.NAHC.NC,0,8.6
YR2009,CZE,SI.POV.NAHC.NC,0,9
YR2010,CZE,SI.POV.NAHC.NC,0,9.8
YR2011,CZE,SI.POV.NAHC.NC,0,9.6
YR2012,CZE,SI.POV.NAHC.NC,0,8.6
YR2013,CZE,SI.POV.NAHC.NC,0,9.7
YR2013,DJI,SI.POV.NAHC,0,
YR2017,DJI,SI.POV.NAHC,0,21.1
YR2013,DJI,SI.POV.NAHC.NC,0,23
YR2017,DJI,SI.POV.NAHC.NC,0,21.1
YR2000,DOM,SI.POV.NAHC,0,
YR2001,DOM,SI.POV.NAHC,0,
YR2002,DOM,SI.POV.NAHC,0,
YR2003,DOM,SI.POV.NAHC,0,
YR2004,DOM,SI.POV.NAHC,0,
YR2005,DOM,SI.POV.NAHC,0,
YR2006,DOM,SI.POV.NAHC,0,
YR2007,DOM,SI.POV.NAHC,0,
YR2008,DOM,SI.POV.NAHC,0,
YR2009,DOM,SI.POV.NAHC,0,
YR2010,DOM,SI.POV.NAHC,0,
YR2011,DOM,SI.POV.NAHC,0,
YR2012,DOM,SI.POV.NAHC,0,
YR2013,DOM,SI.POV.NAHC,0,
YR2014,DOM,SI.POV.NAHC,0,
YR2015,DOM,SI.POV.NAHC,0,
YR2016,DOM,SI.POV.NAHC,0,
YR2017,DOM,SI.POV.NAHC,0,25.6
YR2018,DOM,SI.POV.NAHC,0,22.8
YR2000,DOM,SI.POV.NAHC.NC,0,31.8
YR2001,DOM,SI.POV.NAHC.NC,0,32.7
YR2002,DOM,SI.POV.NAHC.NC,0,32.4
YR2003,DOM,SI.POV.NAHC.NC,0,41.1
YR2004,DOM,SI.POV.NAHC.NC,0,49.4
YR2005,DOM,SI.POV.NAHC.NC,0,47.2
YR2006,DOM,SI.POV.NAHC.NC,0,43.3
YR2007,DOM,SI.POV.NAHC.NC,0,42.8
YR2008,DOM,SI.POV.NAHC.NC,0,43.2
YR2009,DOM,SI.POV.NAHC.NC,0,41.2
YR2010,DOM,SI.POV.NAHC.NC,0,40.5
YR2011,DOM,SI.POV.NAHC.NC,0,39.3
YR2012,DOM,SI.POV.NAHC.NC,0,39.7
YR2013,DOM,SI.POV.NAHC.NC,0,39.6
YR2014,DOM,SI.POV.NAHC.NC,0,34.8
YR2015,DOM,SI.POV.NAHC.NC,0,30.8
YR2016,DOM,SI.POV.NAHC.NC,0,28.9
YR2017,DOM,SI.POV.NAHC.NC,0,25.6
YR2018,DOM,SI.POV.NAHC.NC,0,22.8
YR1988,DZA,SI.POV.NAHC,0,
YR1995,DZA,SI.POV.NAHC,0,
YR2011,DZA,SI.POV.NAHC,0,5.5
YR1988,DZA,SI.POV.NAHC.NC,0,12.2
YR1995,DZA,SI.POV.NAHC.NC,0,22.6
YR2011,DZA,SI.POV.NAHC.NC,0,5.5
YR2000,ECU,SI.POV.NAHC,0,
YR2001,ECU,SI.POV.NAHC,0,
YR2003,ECU,SI.POV.NAHC,0,
YR2004,ECU,SI.POV.NAHC,0,
YR2005,ECU,SI.POV.NAHC,0,
YR2006,ECU,SI.POV.NAHC,0,
YR2007,ECU,SI.POV.NAHC,0,36.7
YR2008,ECU,SI.POV.NAHC,0,35.1
YR2009,ECU,SI.POV.NAHC,0,36
YR2010,ECU,SI.POV.NAHC,0,32.8
YR2011,ECU,SI.POV.NAHC,0,28.6
YR2012,ECU,SI.POV.NAHC,0,27.3
YR2013,ECU,SI.POV.NAHC,0,25.6
YR2014,ECU,SI.POV.NAHC,0,22.5
YR2015,ECU,SI.POV.NAHC,0,23.3
YR2016,ECU,SI.POV.NAHC,0,22.9
YR2017,ECU,SI.POV.NAHC,0,21.5
YR2018,ECU,SI.POV.NAHC,0,23.2
YR2019,ECU,SI.POV.NAHC,0,25
YR2000,ECU,SI.POV.NAHC.NC,0,64.4
YR2001,ECU,SI.POV.NAHC.NC,0,54.9
YR2003,ECU,SI.POV.NAHC.NC,0,49.9
